index,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,OverallCond,YearBuilt,Foundation,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageType,GarageCars,PoolQC,Fence,MiscFeature,SaleCondition,SalePrice
1427,50,RL,60,10930,Pave,AllPub,NAmes,1Fam,6,1945,CBlock,TA,No,GasA,TA,Y,FuseA,1,3,1,1,Attchd,1,NP,No Fence,Attchd,Normal,140000
1285,50,RM,50,6000,Pave,AllPub,BrkSide,1Fam,6,1939,CBlock,TA,No,GasA,Ex,Y,FuseF,1,4,1,1,Detchd,1,NP,No Fence,Detchd,Normal,132500
352,50,RL,60,9084,Pave,AllPub,Edwards,1Fam,6,1941,CBlock,Fa,Mn,GasA,TA,N,SBrkr,1,3,1,0,Detchd,1,NP,No Fence,Detchd,Normal,95000
893,20,RL,NV,13284,Pave,AllPub,Sawyer,1Fam,5,1954,PConc,TA,Mn,GasA,TA,Y,SBrkr,1,3,1,1,Attchd,1,NP,GdPrv,Attchd,Normal,165000
1167,60,RL,58,10852,Pave,AllPub,Gilbert,1Fam,5,2000,PConc,TA,No,GasA,Ex,Y,SBrkr,2,3,1,1,Attchd,2,NP,No Fence,Attchd,Normal,173000
1193,120,RM,NV,4500,Pave,AllPub,Mitchel,TwnhsE,5,1999,PConc,TA,No,GasA,Ex,Y,SBrkr,2,2,1,0,Attchd,2,NP,No Fence,Attchd,Normal,165000
1006,20,RL,NV,12155,Pave,AllPub,NAmes,1Fam,3,1970,CBlock,TA,No,GasA,Gd,Y,SBrkr,2,3,1,1,Attchd,2,NP,No Fence,Attchd,Normal,163500
1126,120,RL,53,3684,Pave,AllPub,Blmngtn,TwnhsE,5,2007,PConc,TA,No,GasA,Ex,Y,SBrkr,2,2,1,1,Attchd,3,NP,No Fence,Attchd,Normal,174000
160,20,RL,NV,11120,Pave,AllPub,Veenker,1Fam,6,1984,PConc,TA,No,GasA,TA,Y,SBrkr,2,3,1,0,Attchd,2,NP,No Fence,Attchd,Normal,162500
17,90,RL,72,10791,Pave,AllPub,Sawyer,Duplex,5,1967,Slab,No Basement,NB,GasA,TA,Y,SBrkr,2,2,2,0,CarPort,2,NP,No Fence,Shed,Normal,90000
842,80,RL,82,9020,Pave,AllPub,NAmes,1Fam,7,1966,CBlock,TA,Gd,GasA,TA,Y,SBrkr,1,3,1,0,Attchd,2,NP,GdPrv,Attchd,Normal,174900
648,60,RL,70,7700,Pave,AllPub,NAmes,1Fam,5,1966,CBlock,TA,No,GasA,TA,Y,SBrkr,1,4,1,1,Attchd,2,NP,No Fence,Attchd,Normal,155000
408,60,RL,109,14154,Pave,AllPub,NridgHt,1Fam,5,2006,PConc,Gd,No,GasA,Ex,Y,SBrkr,2,3,1,1,Attchd,3,NP,No Fence,Attchd,Partial,280000
